"job_user_id","job_title","job_slug","job_roles","job_source","job_company","job_address","job_image","job_description","job_type","job_salary_min","job_salary_max"
"","Cloud Engineer","Cloud Engineer","Cloud Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/176228/cloud-engineer-2?source=job-board-1-10-15-1588&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Provision, Configure and Maintaining Infrastructure on Cloud Services.
Design & Implement Monitoring tools for System, Application and Infrastructure.
Design & Implement Backup and Recovery of Infrastructure, Database and System.
Responding to incidents, problems and planning for growth.
Design & Build CI/CD pipeline for software deployment.
Infrastructure Design & Technical Documentation.
Domain name & SSL Certificate Management.
Minimum Qualifications
What you need to have (Minimum Qualifications)
Excellent knowledge of Cloud Services such as AWS, GCP, Azure and Alibaba Cloud.
Excellent knowledge of automation IaC such as Ansible, CloudFormation, Terraform, Shell Scripting.
Excellent knowledge in Linux, Windows and Mac platforms.
Excellent knowledge in using NGINX.
Excellent knowledge in administration of different databases. Relational such as PostgreSQL, MySQL, MariaDB or NoSQL such as Elasticsearch, MongoDB, DynamoDB.
Excellent knowledge in network and cloud security.
Excellent knowledge of CI/CD tools such as AWS Codepipeline, Gitlab CI, Jenkins, Azure DevOps.
Experience in monitoring and logging such as Grafana, ELK, Splunk, Zabbix, Prometheus, Fluentd.
Experience in configuration management such as Ansible, Chef, Puppet.
Experience in using Docker, Kubernetes.
Experience in using Git.
Able to work as part of a team or alone.
Can efficiently organize and prioritize tasks.
Can confidently identify and solve technical problems unaided and in a timely fashion.
Required language(s): English
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Knowledge of cybersecurity.
Experienced in infrastructure and security assessment.
Experience in system and server migration.
Perks and Benefits
Performance Bonus
Transportation Allowances
Work from Home
Other
WFH Allowance
BPJS Kesehatan
BPJS TK
Medical Reimbursement
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Karet Tengsin Kel., Tanah Abang
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","10,000,000","20,000,000"
"","Data Engineer","Data Engineer","Data Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/176230/data-engineer?source=job-board-1-11-15-1588&similar_job_code=0","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured data.
Build the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.
Develop and maintain optimal data pipeline architecture for training statistical and machine learning models such as regression and classification.
Develop and maintain evaluations to measure the effectiveness of training data. This includes measuring the capabilities of models on a variety of tasks and domains.
Collaborate with data scientists and machine learning engineers to develop a comprehensive data science/machine learning solution pipeline.
Minimum Qualifications
What you need to have (Minimum Qualifications):
Bachelor's degree from computer science or related fields, or equivalent software engineering experience.
Proficiency in Python programming language
Experience in dataset processing and feature engineering using tools such as Numpy, Pandas, and Scikit-Learn
Visualization skills using tools such as Matplotlib, Seaborn, and Bokeh
Understanding of deep learning frameworks such as Pytorch and TensorFlow
Understanding of SQL and NoSQL
Understands Hadoop / Spark / Kafka / Hive / Presto
Proficiency in source control i.e. Git
Preferred:
What would make you stand out from the crowd (Preferred Qualifications):
Deep understanding of Object-Oriented Programming (OOP) concepts such as inheritance, delegation, and abstract class
Understanding of cloud-native technologies such as AWS, GCP, and Azure
Experience in using Docker
Experience in using AWS services such as S3, EC2, Glue, Sagemaker
Experience in AWS Step Function and/or AWS Lambda is even better
Proficiency in Scala and Java programming languages
Enjoy iterating quickly with research prototypes and learning new technologies
Perks and Benefits
Performance Bonus
Transportation Allowances
Work from Home
Other
WFH Allowance
BPJS Kesehatan
BPJS Ketenagakerjaan
Medical Reimbursement
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Karet Tengsin Kel., Tanah Abang
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","10,000,000","20,000,000"
"","Android Developer","Android Developer","Android Developer","https://www.kalibrr.id/c/wirecard/jobs/167719/android-developer?source=job-board-1-12-15-1588&similar_job_code=0","PT. Prima Vista Solusi","South Jakarta City, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/G8AWXEMNCRNU7CCV5BGR6ZU47ZPM6LWT7X9YERCU-5fcf1b78.png","Job Description
Develop and test software applications.
Install, customize and maintain operating systems software including installing and testing new releases.
Minimum Qualifications
Bachelor Degree in Information Technology/related from reputable university with GPA > 3.00.
Proficiency at least one of following programming language: C++/C, Java, C#, ASP in Android
Working knowledge of at least one of the following: SQL, MySQL, Oracle.
Fresh graduates are welcome to apply.
Perks and Benefits
Medical / Health Insurance
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Menara Mulia, Karet Semanggi, South Jakarta City, Jakarta, Indonesia
Vacancy
1 opening
Website
http://www.primavista-solusi.com","Full time","6,000,000","7,000,000"
"","Frontend Engineer","Frontend Engineer","Frontend Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/165772/frontend-engineer?source=job-board-1-13-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Design, develop and build highly scalable, cross-platform, and high-performance web/mobile applications using React and React-Native.
Apply design patterns and design principles to produce maintainable and easy to extend code.
Perform issue analysis, root-cause analysis, and issue resolution.
Write and manage technical documentation.
Minimum Qualifications
Strong proficiency in Typescript.
Outstanding skills in React and React Native
Strong understanding of user-friendly experience & interface, pay attention to details, and proficiency in HTML5, CSS3, React Native styling, and animation.
Experience in responsive web and PWA.
Extensive knowledge in using RESTful and GraphQL.
Experience working with Redux, Redux-Saga, Redux-Thunk, or MobX.
Have experience/exposure to cloud services (AWS/GCP).
Extensive knowledge in unit testing.
Ability to effectively communicate problems and solutions to the different team members.
Firm grasp in object-oriented, functional, or event-driven programming practices.
Good cross-team collaboration and communication skills.
Willingness to learn and adapt to different technologies.
Preferred:
Experience in Native Modules development with Java/ Kotlin or Swift.
Understands web and mobile applications profiling and able to improve the performance of components.
Experienced in Agile/Scrum development.
Perks and Benefits
Paid Bereavement/Family Leave
Housing
Maternity & Paternity Leave
Medical, Prescription, Dental, or Vision Plans
Paid Sick Leave
Work from Home
Other
WFH Allowances
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jakarta Pusat 10220, Indonesia
Vacancy
5 openings
Website
https://www.nri.co.id/","Full time","12,000,000","25,000,000"
"","Backend Engineer","Backend Engineer","Backend Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/172749/backend-engineer-2?source=job-board-1-14-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
Design, develop and build scalable back-end infrastructure levering modern cloud platforms and technologies using Node.JS
Perform issue analysis, root-cause analysis, and issue resolution
Create any required technical documentation
Minimum Qualifications
Requirements:
Strong proficiency with Javascript and/or Typescript
Knowledge of Node.JS and frameworks on the Node.JS ecosystem
Experience working with databases in PostgreSQL
Experience developing and testing RESful APIs
Experience in using Git
Experience in using Cloud Service Providers such as AWS or GCP
Familiarity with Dependency Injection and IoC.
Preferred:
Experience working with NoSQL databases such as MongoDB
Experience working with AWS Services such as DynamoDB, RDS, EC2, ElasticCache and S3.
Experience working with Redis
Experience in using GraphQL
Experience in using MochaJS, Jest or Jasmine
Experience building and maintaining application/ services using Serverless Architecture
Experience developing micro-service(s)
Experience with Continuous Integration and Continuous Delivery (CI/ CD)
Experience in using Docker/ Kubernetes
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Paid Sick Leave
Transportation Allowances
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jl. Jend. Sudirman Kav 86
Vacancy
5 openings
Website
https://www.nri.co.id/","Full time","12,000,000","30,000,000"
"","Scrum Master","Scrum Master","Scrum Master","https://www.kalibrr.id/c/nomura-research-institute/jobs/172752/scrum-master?source=job-board-1-15-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
A Scrum Master helps the software development team to deliver the product as scheduled in high-quality with scrum methodology
Manage each project’s scope and timeline
Help product owner to make the product backlogs in good shape and make them ready for the next sprint
Coach team how to follow agile scrum, which really works.
Facilitate daily scrum, sprint planning, sprint demo, and retrospective meetings
Remove the impediments for the scrum team
Interacting with other technology teams and clients throughout the software lifecycle.
Minimum Qualifications
Requirements:
Extensive knowledge of agile methodology and frameworks like scrum, kanban, XP, etc.
Demonstrable experience of Scrum Management
Stakeholder Management, Negotiation & Communication Skills
Familiarity with web-based collaboration tools such as Wrike, Trello, and Confluence
Preferred:
3+ years Scrum Master experience in any well-known software environment
Experience in mobile/ web application development
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Paid Sick Leave
Transportation Allowances
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jl. Jend.Sudirman Kav.86
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","9,000,000","20,000,000"
"","Field Operations (Surabaya)","Field Operations (Surabaya)","Field Operations (Surabaya)","https://www.kalibrr.id/c/pt-majoo-teknologi-indonesia/jobs/176628/field-operations-surabaya?source=job-board-2-1-15-1588&similar_job_code=0","PT Majoo Teknologi Indonesia","Surabaya, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/5MJG5D629ZWC84DGT9EY2VV7K67JUJS5XXYM7ZM2-60deae1e.png","Job Description
Melakukan instalasi beserta pengaturan software dan hardware majoo.
Memberikan edukasi (training) kepada staff /manager/ owner mengenai cara penggunaan sistem aplikasi majoo secara komperhensif.
Penempatan Kota Surabaya
Minimum Qualifications
D3/S1 Teknologi Informasi atau Sistem Informasi
Pengalaman 1 tahun bekerja sebagai teknisi lapangan di bidang teknologi informasi atau point of sales (POS).
Memiliki SIM C dan memiliki kendaraan bermotor
Berpengalaman melakukan proses maintenance hardware / software
Memiliki kemampuan komunikasi yang baik
Memiliki pengalaman di industri POS (Point of Sales) menjadi nilai tambah
Domisili Surabaya
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Transportation Allowances
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Surabaya, East Java (Jawa Timur), Indonesia
Vacancy
1 opening
Website
https://www.majoo.id/","Full time","2,000,000","4,000,000"
"","Front End Developer","Front End Developer","Front End Developer","https://www.kalibrr.id/c/it-s-a-virus/jobs/167444/front-end-developer?source=job-board-2-2-15-1588&similar_job_code=0","Itsavirus","Badung, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/3X6WS56U527VLN8FGXTLS69BBVHQUP433ZT9HHGT-5fffeff9.png","Job Description
Summary
As a Front-end Developer you will combine the art of design with the art of programming. Your Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.
Your responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. In details :
Develop new user-facing features
Build reusable code and libraries for future use
Ensure the technical feasibility of UI/UX designs
Optimize application for maximum speed and scalability
Assure that all user input is validated before submitting to backend
Collaborate with other team members and stakeholders.
Minimum Qualifications
Candidates must possess at least a Diploma, Bachelor’s Degree in Engineering (Computer/Telecommunication) or equivalent.
Required language(s): Indonesia, English.
Required skill(s): React, Git, HTML, JavaScript, CSS, jQuery
Have experience working with state management (Redux or Mobx)
Experience working with agile methodology (Scrum)
Familiar with React Native are preferred.
Experience in automated testing is preferred.
And on top of that, you are someone who is fun to work with, have a decent personality and kind hearted.
Perks and Benefits
Child Care Benefits
Paid Bereavement/Family Leave
Flexitime
Free Lunch or Snacks
Housing
Maternity & Paternity Leave
Medical / Health Insurance
Paid Holidays
Paid Vacation Leave
Relocation Assistance
Paid Sick Leave
Other
Education Budget
Company Barbeque and Company Trip
Nice swimming pool and rice field view
Preferred Courses
Computer Science [Software Technology]
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Jalan Raya Babakan Canggu, Badung 80365, Indonesia
Vacancy
3 openings
Website
https://www.itsavirus.com/","Full time","7,000,000","12,000,000"
"","Test Engineer","Test Engineer","Test Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/165779/test-engineer?source=job-board-2-3-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
As a Test Engineer, your primary role is to prevent errors to be released by testing it manually or automatically. You are going to manage test cases and write automation codes and deliver them integrated with the project's development and release process. Together with other engineers in your team, you are fully empowered to manage testing processes within your area of responsibility.
Write test scripts to automate complex test cases and scenarios for mobile apps, web and/or API.
Define and manage test plans, including test scenarios and test cases, that will ensure acceptance criteria are being fulfilled.
Execute all relevant testing types for the feature, including but not limited to UI testing, functionality testing, regression testing, smoke testing, sanity testing and performance testing.
Collaborate with other engineers within a cross-functional team.
Minimum Qualifications
Bachelor Degree in Information System, Computer Science, or related fields, or equivalent professional experience in software testing
Working experience in manual and automated testing for mobile/web applications and API
Knowledge and experience on mobile automation using Detox
Knowledge and experience on web automation in using Cypress
Knowledge and experience in CI/CD pipeline automation
Solid understanding of SQL
Good perspective of how the testing process should be done
Having general cloud knowledge and containerisation using Docker
Strong logical thinking
Strong proficiency in using Git
Able to work both independently within a project or as part of a team
Preferred:
Knowledge and hands-on experience in using AWS/GCP/Azure
Exposure on Agile Methodology with scrum
Perks and Benefits
Paid Bereavement/Family Leave
Housing
Maternity & Paternity Leave
Medical / Health Insurance
Paid Sick Leave
Transportation Allowances
Work from Home
Other
WFH Allowances
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jakarta Pusat 10220, Indonesia
Vacancy
1 opening
Website
https://www.nri.co.id/","Full time","6,000,000","15,000,000"
"","Machine Learning Engineer","Machine Learning Engineer","Machine Learning Engineer","https://www.kalibrr.id/c/nomura-research-institute/jobs/172751/machine-learning-engineer?source=job-board-2-4-15-1588&similar_job_code=1","Nomura Research Institute Indonesia","Jakarta Pusat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/27M6TT4QJAZZBCS4S27Z4ZE5HXK8UH89CAVVDDSJ-5fcdf99e.png","Job Description
A Machine Learning Engineer train machine learning and deep learning models on a computing cluster to perform visual recognition tasks, activity detection with numerous sensors, etc.
Design & implement ML/DL solutions and integrate them with various Big Data platforms and architectures.
Creating and Maintain Machine Learning pipelines that are scale-able, robust, and ready for production.
Collaborate with domain experts, software developers, and data scientists.
Troubleshoot ML/DL model issues, including recommendations for retrain, re-validate, and improvements/optimization.
Realize Continuous Integration (CI) and Continuous Deployment (CD) pipelines within ML/DL platforms.
Minimum Qualifications
Requirements:
3 years of hands-on experience in building ML models deployed into real-world business applications or research.
Good understanding of Machine Learning / Deep learning framework such as Jupyter Notebook, Anaconda, Tensorflow, Keras, Scikit-Learn, PyTorch, MXNet, etc.
Experience working with cloud services platform (AWS or GCP) to build ML/DL pipelines; training (GPU CUDA), evaluating (Tensorboard), deploying (SageMaker, Docker container).
Proficiency with Python, R and basic libraries for machine learning such as scikit-learn and pandas
Strong working knowledge of ML/DL algorithms (classification, regression, clustering, hyperparameter tuning, etc).
Experience in model compression or quantization for on-edge-device inference
Proficiency with Open CV
Experience with Image Processing/Computer Vision
We will also factor in relevant certifications (e.g., AWS, Coursera)
Experience with Continuous Integration and Continuous Delivery(CI/CD)
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Paid Sick Leave
Transportation Allowances
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sahid Sudirman Center, Jl.Jend.Sudirman Kav.86
Vacancy
2 openings
Website
https://www.nri.co.id/","Full time","15,000,000","30,000,000"
"","Frontend Engineer","Frontend Engineer","Frontend Engineer","https://www.kalibrr.id/c/pintap/jobs/171952/frontend-engineer?source=job-board-2-5-15-1588&similar_job_code=0","Pintap","Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/PBXWY8GHZ59HRCUNXKUYA78UYB24PSWGRAD2ZLSP-6065adbd.png","Job Description
Description:
About your responsibilities for the Role
Design, develop and build highly scalable, cross-platform, and high-performance web applications using React.
Apply design patterns and design principles to produce maintainable and easy to extend code.
Perform issue analysis, root-cause analysis, and issue resolution.
Write and manage technical documentation.
Minimum Qualifications
Requirements:
What you need to have (Minimum Qualifications)
2+ years of active software development.
Strong proficiency in Typescript.
Outstanding skills in React.
Strong understanding of user-friendly experience & interface, pay attention to details, and proficiency in HTML5 and CSS3.
Experience in responsive web and PWA.
Extensive knowledge in using RESTful and GraphQL.
Experience working with Redux, Redux-Saga, Redux-Thunk, or MobX.
Have experience/exposure to cloud services (AWS/GCP).
Extensive knowledge in unit testing.
Ability to effectively communicate problems and solutions to the different team members.
Firm grasp in object-oriented, functional, or event-driven programming practices.
Good cross-team collaboration and communication skills.
Willingness to learn and adapt to different technologies.
Preferred:
What would make you stand out from the crowd (Preferred Qualifications)
Experience in developing Magento Storefront.
Experience in developing SaaS.
Understanding of CI/CD.
Experienced in Agile/Scrum development.
Able to perform benchmarking and monitoring.
Perks and Benefits
Paid Sick Leave
Work from Home
Jobs Summary
Job level
Mid-Senior Level / Manager
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Sentral Senayan Ii, 8, Jalan Asia Afrika, Jakarta 10270, Indonesia
Vacancy
2 openings
Website
https://karir.pintap.id/#job","Full time","9,000,000","25,000,000"
"","Software Engineer","Software Engineer","Software Engineer","https://www.kalibrr.id/c/sinbad/jobs/169464/software-engineer?source=job-board-2-6-15-1588&similar_job_code=1","Sinbad","Jakarta Selatan, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/TWE8KBSL3CHE9THWFGAG7D3W7M4RVWDWG73QSF3U-602de4bc.png","Job Description
Fully engaged in SDLC - Design, develop, test, deploy, maintain, monitor, and improve the software
Work closely with the Lead Engineer , Quality Engineers & Product teams to deliver software that meets quality requirements.
Work together with Product & UI/UX Team to design, develop and implement complex features
Write code that can is well designed, testable, and efficient using the best software development practices
Write well designed, testable, efficient code by using best software development practices
Aggressive problem diagnosis and creative problem solving skills
Learn, test and implement new technologies, frameworks and languages
Ensure high quality graphic standards and brand consistency
Implement unit tests and functional tests
Support and collaborate with internal & external teams
Minimum Qualifications
Bachelor’s degree in Engineering: Computer Science, Information Technology or a relevant field
2+ years experience as a software engineer in diverse environments & teams
Strong knowledge & experience in the SDLC & Agile Scrum environment
Experience with Unstructure / Structure databases (SQL , Mongo etc)
Experience with Source Code Management & Versioning (git)
Curiosity to explore creative solutions and learn new tech, whilst also being willing to implement it
Familiarity with SOA & Microservice architecture
Experienced using JS & Go with at least 1 of Angular / React
Fluent in both English & Bahasa Indonesia, competent reading and writing abilities in both languages
Perks and Benefits
Child Care Benefits
Free Lunch or Snacks
Maternity & Paternity Leave
Medical / Health Insurance
Medical, Prescription, Dental, or Vision Plans
Special Leave Benefits for Women
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Kemang Selatan II, Bangka Kel., Mampang Prapatan
Vacancy
10 openings
Website
https://sinbad.co.id/","Full time","6,000,000","18,000,000"
"","Full Stack Developer","Full Stack Developer","Full Stack Developer","https://www.kalibrr.id/c/sevima/jobs/168909/full-stack-developer?source=job-board-2-7-15-1588&similar_job_code=0","SEVIMA","Surabaya, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/6TJ3MQE2WTVUF2PAAMFD446C5HPFSJTXZTJXLSGL-6022106c.png","Job Description
Melakukan pengembangan sistem front-end dan back-end sebuah website (menciptakan, menambah fitur, memperbaiki, dsb).
Minimum Qualifications
Usia < 35thn
Minimal D3 Informatika
Memiliki pengalaman minimal 3 tahun bekerja di bidang Programming / Developer
Pengalaman minimal 2 tahun di PHP, Java, jquery, Code Igniter (CI)
Menguasai pemrograman android/mobile merupakan nilai tambah
Memiliki kemampuan analisa, logika dan pemecahan masalah yang kuat
Bisa bekerja dalam tim, Fast learner, fleksibel, dan mudah mempelajari hal baru
Penempatan Surabaya Office
Perks and Benefits
Free Lunch or Snacks
Medical / Health Insurance
Performance Bonus
Other
Benefit:
Attractive incentive & Bonus Kinerja Bulanan
Pengembangan Diri (Pelatihan Diri)
Jam Kerja 08.30 – 16.30 (Senin s/d Jumat)
Preferred Courses
Technology [Information Technology]
JQuery
PHP
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Medokan Asri Tengah, Medokan Ayu Kel., Rungkut
Vacancy
5 openings
Website
https://sevima.com/","Full time","6,000,000","10,000,000"
"","Mobile Engineer - iOS","Mobile Engineer - iOS","Mobile Engineer - iOS","https://www.kalibrr.id/c/ruangguru/jobs/163736/mobile-engineer-ios-5?source=job-board-2-8-15-1588&similar_job_code=0","Ruangguru","Kota Jakarta Selatan, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.id/logos/MS5CFRH5RBEVY7HFD3JLMEYK2M4SR69MDVQQYE3W-5e09ac2e.png","Job Description
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Minimum Qualifications
2+ years of experience as a Mobile Engineer or Software Engineer.
Proven working experience in software development, with one published (or more) iOS apps in the app store.
Comfortable with iOS technology and programming language (Swift, Objective C, etc).
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Nice to Have
Experience working with react-native
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Jl. Dr. Saharjo No.161, RT.7/RW.3, South Manggarai, South Jakarta City, Jakarta, Indonesia
Vacancy
1 opening
Website
https://career.ruangguru.com","Full time","",""
"","Junior Data Science","Junior Data Science","Junior Data Science","https://www.kalibrr.id/c/pt-evotech-distribusi/jobs/170086/junior-data-science?source=job-board-2-9-15-1588&similar_job_code=0","PT Evotech Distribusi","Kota Jakarta Barat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/WUJKZNYXR2K4CZEGPMPKRPSWHH9ZUA35PWQY9X5S-5e660717.png","Job Description
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriated Machine Learning algorithms and tools
Develop machine learning applications according to needed requirements
Select appropriate datasets and data representation methods
Conduct Machine Learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems if necessary
Update existing Machine Learning libraries and frameworks as well development needed in this area
Minimum Qualifications
Minimal a Bachelor degree in Computer Science/or Mathematics / or Statistics or similar fields related
Proven experience as a Machine Learning Engineer (preferable) and Fresh Graduates are MOST WELCOME to apply
Proficient in data structures, data modeling, and software architecture
Strong knowledge of math, probability, statistics, and algorithms
Ability to write robust code in Python, Java, and R
Capable to work independently as well in a team
Outstanding Analytical and problem-solving skills
Strong communication skills
Pro-active, Initiative and capable to be multitasking
Keen and well updated on new technology related to data science or machine learning
Willing to work in Jakarta
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Puri Indah Financial Tower Lt.7 Unit 0709-0711 Jl Puri Lingkar Dalam Blok T8 Jakarta Barat, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia
Vacancy
1 opening
Website
https://evotech.co.id/","Full time","",""
"","Mobile Developer","Mobile Developer","Mobile Developer","https://www.kalibrr.id/c/pt-global-urban-esensial/jobs/74848/mobile-developer?source=job-board-2-10-15-1588&similar_job_code=0","PT Global Urban Esensial","South Tangerang, Indonesia","https://rec-data.kalibrr.com/logos/7HSKK2WZKZEL9NCS2HGB-5a2529f3.png","Job Description
Work as part of a small team to build React Native iOS / Android applications based on user needs.
Build and maintain excellent React Native applications with clean code.
Implement pixel-perfect UI's that match designs.
Integrate back-end and or third-party APIs.
Release applications to Apple and Google Play stores.
Work with native modules when required.
Work as part of a small team, which will include other React Native developers, project managers, QA, and designers. Complete two-week sprints and participate in sprint retrospectives and standups.
Identify and correct bottlenecks and fix bugs
Optimize applications for maximum speed and scalability.
Ensure the best possible performance, quality, and responsiveness of the application
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Research and evaluate alternative solutions and provide recommendations for building and improving the product
Minimum Qualifications
Bachelor Degree in Information Technology, Information System, or Computer Science
Having at least 1-2 years experience as Mobile Developer
Proficient understanding of mobile development programming stacks especially React Native or Flutter
Updated with latest mobile technology and framework
Ability to take extreme ownership of your work. Every day is a challenge to make sure you are working according to the expectations your team has agreed upon
Understand React Native best practices and a commitment to following them
Ability to solve new and difficult React Native issues and contribute to libraries as needed
Experience working with Swift, Objective C, and Java is a plus but not required
Strong knowledge of code versioning tools (Git/SVN)
Good communication and excellent problem-solving skill
Perks and Benefits
Flexitime
Free Lunch or Snacks
Medical / Health Insurance
Performance Bonus
Transportation Allowances
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Titan Center | Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia
Vacancy
1 opening
Website
http://www.guesehat.com","Full time","",""
