"job_user_id","job_title","job_slug","job_roles","job_source","job_company","job_address","job_image","job_description","job_type","job_salary_min","job_salary_max"
"","Front End Developer","Front End Developer","Front End Developer","https://www.kalibrr.id/c/access-mobile/jobs/168888/front-end-developer?source=job-board-1-10-15-1534&similar_job_code=0","Access Mobile","Jakarta Selatan, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/7737PZDR9EJU824RDJTURPKDSMA896N2W2Y36MNC-607d3397.png","Job Description
[Responsibilities]
• Create new products and services
• Scale and improve existing products and services
Minimum Qualifications
[Required Qualifications]
• Experience with back-end development with Angular
• Experience with scripting and working in a Linux environment
• Experience with GIT
• Ability to write consistent and testable code of high quality
• Working knowledge of building micro-services architecture and fault-tolerant distributed systems
• Working knowledge of design patterns and best practices
[Preferred Qualifications]
• Motivation to build and constantly improve great products
• Resourcefulness, eagerness to learn quickly and constantly improving own
skills and knowledge
• Productiveness and ability to contribute well in a team
• Interpersonal skills and time management skills
• Analytical and troubleshooting skills
• Foundation using Docker to both create Docker images and deploy Docker containers
• Experience with AWS serverless solutions
[Location]
Jakarta Selatan or WFH during COVID-19
Perks and Benefits
Maternity & Paternity Leave
Medical / Health Insurance
Paid Vacation Leave
Performance Bonus
Special Leave Benefits for Women
Work from Home
Preferred Courses
angular
front
git
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Kuningan Barat 1, Kuningan Barat Kel., Mampang Prapatan
Vacancy
1 opening
Website
http://www.access-mobile.com/","Full time","10,000,000","20,000,000"
"","IT Application Support","IT Application Support","IT Application Support","https://www.kalibrr.id/c/pt-federal-international-finance/jobs/176109/it-application-support-2?source=job-board-1-11-15-1534&similar_job_code=0","FIFGROUP","South Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/X987J4GKH9K4LH6N2KFKVGRR9C6MVERD8V5UJGDS-5d789f0e.png","Job Description
Providing software application support under the supervision of the Senior Engineer.
Performing analyses on software application functionality and suggesting improvements.
Ensuring effective front end and back end functionality of applications.
Consulting with the software development team, internal users, and clients to improve application performance.
Managing code migration across environments to ensure continued and synchronized functionality.
Establishing the root causes of application errors, and escalating serious concerns to the Development Team.
Keeping a record of configuration changes and scheduling application updates.
Minimum Qualifications
Bachelors degree graduate of Information Technology or equivalent;
Max. 30 years old;
Experienced Application Support Engineer or Software Developer;
Strong analytical and planning skills;
Good communication and presentation skills;
Excellent problem-solving skills;
Perks and Benefits
Medical / Health Insurance
Medical, Prescription, Dental, or Vision Plans
Performance Bonus
Retirement Benefit Plans
Transportation Allowances
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Menara FIF (Head Office) Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440
Vacancy
2 openings
Website
http://www.fifgroup.co.id/","Full time","8,000,000","10,000,000"
"","Security Engineer","Security Engineer","Security Engineer","https://www.kalibrr.id/c/pt-anabatic-technologies/jobs/121628/security-engineer?source=job-board-1-12-15-1534&similar_job_code=0","PT Anabatic Digital Raya","Tangerang, Indonesia","https://rec-data.kalibrr.com/logos/8QR7B5WD5MCQ97LQEH24KNL9A5VNJR3TNPT59B8H-5cc7e3cd.png","Job Description
Monitor network security events received from monitored servers, and then take appropriate action based on security policy
Assist customers with security related issues
Reviewing alerts detected in SIEM tools and escalate any suspicious event
Responsible for troubleshooting related with software security issues
Perform analysis of log files, includes forensic analysis of system resource access
Carrying out all activities regarding SOC (Security Operation Centre) policies and SOC (Security Operation Centre) procedures
Daily report and analysis for any alert/offense detected
Minimum Qualifications
Knowledge of IT Security
Minimum GPA 3,00 (scale 4,00)
Having knowledge on system active directory, LDAP (Lightweight Directory Access Protocol)
Basic knowledge about Operating system, Linux and Windows
Minimum diploma/bachelor degree in IT, information system, computer science or related field
At least 4 year(s) of working experience in the related field is required for this position
Good communication in english both oral and written
Having good self motivation, fast learner, high degree of integrity, initiative, can do attitude and able to work as a team, humble, good adaptable
Able to work under required time and pressure
Having strong analytical skill and problem solving
Understanding of common network services (web, mail, FTP, etc), network vulnerabilities, and network attack patterns
Familiar with security assessment tools (NMAP, ISS, Nessus, Metasploit, Netcat, etc)
Willing to be processed (of recruitment) in Gading Serpong, Tangerang
Perks and Benefits
Medical / Health Insurance
Performance Bonus
Other
Certification allowance
Notebook Ownership Program
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Often
Office Address
Graha Anabatic Jl. Scientia Boulevard Kav U2 Summarecon Serpong
Vacancy
10 openings
Website
http://www.anabatic.com","Full time","5,000,000","8,000,000"
"","Back End Developer","Back End Developer","Back End Developer","https://www.kalibrr.id/c/access-mobile/jobs/168868/back-end-developer?source=job-board-1-13-15-1534&similar_job_code=1","Access Mobile","Jakarta Selatan, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/7737PZDR9EJU824RDJTURPKDSMA896N2W2Y36MNC-607d3397.png","Job Description
[Responsibilities]
• Create new products and services
• Scale and improve existing products and services
Minimum Qualifications
[Required Qualifications]
• Experience with back-end development with Golang
• Experience with scripting and working in a Linux environment
• Experience with GIT
• Ability to write consistent and testable code of high quality
• Working knowledge of building micro-services architecture and fault-tolerant distributed systems
• Working knowledge of design patterns and best practices
[Preferred Qualifications]
• Motivation to build and constantly improve great products
• Resourcefulness, eagerness to learn quickly and constantly improving own
skills and knowledge
• Productiveness and ability to contribute well in a team
• Interpersonal skills and time management skills
• Analytical and troubleshooting skills
• Foundation using Docker to both create Docker images and deploy Docker containers
• Experience with AWS serverless solutions
[Location]
Jakarta Selatan or WFH during COVID-19
Perks and Benefits
Maternity & Paternity Leave
Medical / Health Insurance
Paid Vacation Leave
Performance Bonus
Special Leave Benefits for Women
Work from Home
Preferred Courses
golang
git
back end developer
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Kuningan Barat 1, Kuningan Barat Kel., Mampang Prapatan
Vacancy
1 opening
Website
http://www.access-mobile.com/","Full time","10,000,000","20,000,000"
"","Full Stack Developer","Full Stack Developer","Full Stack Developer","https://www.kalibrr.id/c/sevima/jobs/168909/full-stack-developer?source=job-board-1-14-15-1534&similar_job_code=1","SEVIMA","Surabaya, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/6TJ3MQE2WTVUF2PAAMFD446C5HPFSJTXZTJXLSGL-6022106c.png","Job Description
Melakukan pengembangan sistem front-end dan back-end sebuah website (menciptakan, menambah fitur, memperbaiki, dsb).
Minimum Qualifications
Usia < 35thn
Minimal D3 Informatika
Memiliki pengalaman minimal 3 tahun bekerja di bidang Programming / Developer
Pengalaman minimal 2 tahun di PHP, Java, jquery, Code Igniter (CI)
Menguasai pemrograman android/mobile merupakan nilai tambah
Memiliki kemampuan analisa, logika dan pemecahan masalah yang kuat
Bisa bekerja dalam tim, Fast learner, fleksibel, dan mudah mempelajari hal baru
Penempatan Surabaya Office
Perks and Benefits
Free Lunch or Snacks
Medical / Health Insurance
Performance Bonus
Other
Benefit:
Attractive incentive & Bonus Kinerja Bulanan
Pengembangan Diri (Pelatihan Diri)
Jam Kerja 08.30 – 16.30 (Senin s/d Jumat)
Preferred Courses
Technology [Information Technology]
JQuery
PHP
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Medokan Asri Tengah, Medokan Ayu Kel., Rungkut
Vacancy
5 openings
Website
https://sevima.com/","Full time","6,000,000","10,000,000"
"","Senior UX Designer","Senior UX Designer","Senior UX Designer","https://www.kalibrr.id/c/tokopedia/jobs/169528/senior-ux-designer?source=job-board-1-15-15-1534&similar_job_code=1","Tokopedia","South Jakarta, Indonesia","https://rec-data.kalibrr.com/logos/XMKUEUMG9ZSNEJ59KZ4YBDD98REF6JFTPMJNYT8L-5bcd893e.png","Job Description
Work closely with the product and/or business team to sharpen product visions and requirements that focus on the user's needs
Collaborate with researchers to plan and conduct research in order to gather insights or validate hypothesis and design solutions
Collaborate with UI designers and UX writers to ensure the best quality of content and interface and are aligned with the design system
Interpret both quantitative and qualitative datas as parameters to be documented on the design decisions
Translate product's vision and requirements into a clear defined user journeys, end-to-end experiences and conceptual screen designs that includes but not limited to prototypes and wireframes
Showcase design works to design stakeholders
Drive collaboration using co-design & workshop processes involving different stakeholders to solve user problems
Work closely with Product Managers and Developers to ensure the proper designs are implemented into production
Mentor and coach associate designers to be able to deliver the best design implementation
Minimum Qualifications
Deep understanding and ability to implement Human Centered - Design Thinking process
Good story-telling ability to showcase design works and processes to the stakeholders
Good understanding of product metrics framework, ability to read and interpret data
Ability to conduct research such as Usability Testing, In-Depth Interview, Competitive Analysis, etc.
Good understanding and able to implement design principles (UX Laws, Gestalt Principles, Heuristic Usability, etc).
Have impactful design portfolios that demonstrate process and problem-solving skills
Minimum 2 years experience as UX Designer or similar roles
Able to use design tools such as Figma, Sketch, Invision, etc.
Up-to-date knowledge about trends and various aspects of digital product design
Proficiency in English both writing and verbally
Experience in mentoring or coaching is a plus
Perks and Benefits
Work from Home
Jobs Summary
Job level
Mid-Senior Level / Manager
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
South Jakarta, DKI Jakarta, Indonesia
Vacancy
1 opening
Website
https://www.tokopedia.com/","Full time","",""
"","Software Engineer","Software Engineer","Software Engineer","https://www.kalibrr.id/c/sinbad/jobs/169464/software-engineer?source=job-board-2-1-15-1534&similar_job_code=1","Sinbad","Jakarta Selatan, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/TWE8KBSL3CHE9THWFGAG7D3W7M4RVWDWG73QSF3U-602de4bc.png","Job Description
Fully engaged in SDLC - Design, develop, test, deploy, maintain, monitor, and improve the software
Work closely with the Lead Engineer , Quality Engineers & Product teams to deliver software that meets quality requirements.
Work together with Product & UI/UX Team to design, develop and implement complex features
Write code that can is well designed, testable, and efficient using the best software development practices
Write well designed, testable, efficient code by using best software development practices
Aggressive problem diagnosis and creative problem solving skills
Learn, test and implement new technologies, frameworks and languages
Ensure high quality graphic standards and brand consistency
Implement unit tests and functional tests
Support and collaborate with internal & external teams
Minimum Qualifications
Bachelor’s degree in Engineering: Computer Science, Information Technology or a relevant field
2+ years experience as a software engineer in diverse environments & teams
Strong knowledge & experience in the SDLC & Agile Scrum environment
Experience with Unstructure / Structure databases (SQL , Mongo etc)
Experience with Source Code Management & Versioning (git)
Curiosity to explore creative solutions and learn new tech, whilst also being willing to implement it
Familiarity with SOA & Microservice architecture
Experienced using JS & Go with at least 1 of Angular / React
Fluent in both English & Bahasa Indonesia, competent reading and writing abilities in both languages
Perks and Benefits
Child Care Benefits
Free Lunch or Snacks
Maternity & Paternity Leave
Medical / Health Insurance
Medical, Prescription, Dental, or Vision Plans
Special Leave Benefits for Women
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Kemang Selatan II, Bangka Kel., Mampang Prapatan
Vacancy
10 openings
Website
https://sinbad.co.id/","Full time","6,000,000","18,000,000"
"","DevOps Engineer","DevOps Engineer","DevOps Engineer","https://www.kalibrr.id/c/klik-digital/jobs/166601/devops-engineer?source=job-board-2-2-15-1534&similar_job_code=1","Klik Digital Sinergi","Pancoran, Indonesia","https://rec-data.kalibrr.com/logos/JBT3JF2MZ24LJZQ2PECF5DJEB52LVX6S4HP2GA85-5b5854be.png","Job Description
Designed tools for managing the infrastructure and programmed clean & re-usable simple codes
Configured server images or container, optimized the task performance in correspondence with the engineers
Worked on various platforms with different programming languages and supported the production cluster management system
Creating/Maintaining CI-CD pipelines that include Infrastructure as code and Environment configuration stages as well as traditional build/deploy/test steps.
Providing technical guidance to Dev and Quality teams on how to best integrate automated quality tests into CI-CD so as to decrease time spent on the testing while ensuring high levels of test coverage and delivering high-quality applications.
Ensuring that systems are safe and secure against cybersecurity threats
Make improvements to the monitoring tools and dashboard to ensure visibility and early verification of clusters and applications that are implemented
Minimum Qualifications
Experience as a JIRA, Bitbucket, and JFrog Artifactory administrator;
Familiar with CI/CD toolchain
3+ years of expertise on these tools would be great.
Very profound troubleshooting/support experience
Linux based operating system experience
3+ years of Linux Server experience
Very strong communication skills and the ability to work with cross-functional IT and business teams.
Must have good verbal and written English communication.
Global team experience in communication (Zoom, Teams, Bluejeans, WebEx, teleconferences) and follow up on their own initiative (self-starter) with minimal supervision
Versatile, flexible, and passionate about learning
Hands-on experience in Software Development Life cycle (SDLC/ALM) applications for: a. Source Code Management b. Defect Management & Tracking
Experience in maintaining tools Service Level Agreements (SLA), IT Security and Compliance, System Performance, and other stewardship activities (application upgrade, infrastructure changes, etc).
Well demonstrated experience in handling critical escalations and being able to deliver under pressure.
Desire
Scripting experience – Ansible, Shell, Groovy, Python
Atlassian certifications (if any)
Confluence administration experience
Understanding/experience on Agile, Scrum, and Kanban methodologies/concepts
Monitoring tools such as – Splunk, Zabbix
Webservers experience such as Apache, Nginx
Hands-on experience in Software Development Life cycle (SDLC/ALM) applications for a. Build Management b. Test and Release management.
Administration experience in Jenkins would be a plus
Nice to have
Good understanding of non-Atlassian platforms such as Microsoft TFS, MKS, ClearCase, etc.
Collaborate closely with other IT organizations, particularly the IT Infrastructure organizations to design, implement and support solutions.
Good understanding of RDBMS and SQL queries.
Knowledge of infrastructure components (Networking, memory, CPUs, storage - Disk IOs,) to troubleshoot various challenges.
Implement cloud-based (AWS) software development solutions such as builds, test automation solutions.
A critical thinker and to be able to positively influence the team.
A good understanding of various Operating Systems & technologies would be a plus. a. Windows. Embedded Operating Systems (optional)c. Web Services (IIS, Apache, tomcat)d. Storage (Flash, NAS, etc)e. Application monitoring and performance tuning.
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Jl. Buncit Raya 40B, Kel. Duren Tiga, Jakarta - Indonesia 12760, Pancoran, Daerah Khusus Ibukota Jakarta, Indonesia
Vacancy
2 openings
Website
http://klik.digital","Full time","",""
"","Software Quality Assurance (QA) Engineer","Software Quality Assurance (QA) Engineer","Software Quality Assurance (QA) Engineer","https://www.kalibrr.id/c/blibli/jobs/172193/software-quality-assurance-qa-engineer-2?source=job-board-2-3-15-1534&similar_job_code=1","Blibli","Central Jakarta, Indonesia","https://rec-data.kalibrr.com/logos/P5QDTKEKME2SD9XHE96E-59da4c63.png","Job Description
As SDET on Blibli.com, you will be part of our technology development team to ensure our product quality delivers the best e-commerce experience for our customers. You will be responsible for finding defects on the software and quality evaluation, in addition, you will be involved in the automated testing of software development to verify our product in an agile development process. As a mixture of software developer and quality engineer you will have the opportunity to learn the product or domain knowledge, take part in product and software design process, develop the end-user software requirements and test scenarios, evaluate the functional and usability of the product and learn on how to code and build the software test automation tools.
What you will do :
Create and execute test cases based on the product requirement
Write automation code for the designed test cases
Ensure the software quality by maintaining sanity and regression automation
Identify the product requirement in sprint grooming and sprint planning
Troubleshoot and prevent the issue in production and escalating any concerns that can potentially compromise product quality
Minimum Qualifications
Bachelor degree in Computer Science, Information Technology, Engineering or Science from a reputable university (with min GPA 3.00)
Min. 2 years of related experience
Strong analytical and problem-solving skills
A meticulous person with high attention to details
Good communication skills and able to work as a team as well as individually
Good working knowledge on using modern programming language/frameworks such as Java, Maven other frameworks
Good working knowledge of database technology (SQL, NoSQL)
Knowledge on testing REST API is a plus
Knowledge of UI testing and tracker is a plus
Knowledge of software quality assurance is a plus
Knowledge of test automation tools is a plus (Selenium, Appium, Cucumber)
(Open for Jakarta and Bandung Office)
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Budi Kemuliaan I no 1 (Gedung Sarana Jaya)
Vacancy
15 openings
Website
https://www.blibli.com/page/karir/#ourpurpose","Full time","",""
"","SDET (Automation Engineer)","SDET (Automation Engineer)","SDET (Automation Engineer)","https://www.kalibrr.id/c/finaccel/jobs/109120/sdet-automation-engineer?source=job-board-2-4-15-1534&similar_job_code=1","FinAccel","Jakarta, Indonesia","https://rec-data.kalibrr.com/logos/BZAWVFFVV2PZURNKRJUF-59db02a5.png","Job Description
We are looking for a dynamic SDET engineer who will be;
Writing test scripts to automate complex test cases and scenarios for mobile apps and/or web apps
Analyzing user stories to define test plan, including test scenarios and test cases, that will ensure the acceptance criteria of the story are being fulfilled
Executing all relevant testing types for the story, including user interface testing, functionality testing, performance testing, regression testing, unit testing, system testing, or integration testing
Doing the documentation your analysis and test reports
Minimum Qualifications
We are looking for someone with adequate experience and interest in QA automation. We have a complex system that is challenging to test, and want a teammate who is creative in coming up with automation solutions, and skilled at implementing them in code. You will be suitable if you have:
Bachelor Degree in Information System, Computer Science, or related fields
Good knowledge and experience in Object-oriented Programming
Java Developer and Software Developer are open to apply
Strong logical thinking
What would be ideal for you to have
Experience in creating mobile/web application
Knowledge in automated testing framework (e.g. selenium, appium)
Experience in test-driven development
Knowledge of software QA methodologies, tools, and processes
Experiencing designing, writing, maintaining, and executing software tests
Ability to think as an end user
Scripting experience such as Python or JavaScript
Strong collaboration skills
Ability to triage problems
Passion for developing and maintaining a good user experience
Comfortable with switching contexts rapidly
Strongly passionate about mobile/web technologies
Enjoy a challenge and are eager to grow
Yearning for a company that put high values on training and developing your skills
Perks and Benefits
Paid Bereavement/Family Leave
Free Lunch or Snacks
Maternity & Paternity Leave
Medical / Health Insurance
Medical, Prescription, Dental, or Vision Plans
Paid Holidays
Paid Sick Leave
Stock Options
Work from Home
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Dipo Tower, Jakarta 10260, Indonesia
Vacancy
1 opening
Website
https://www.finaccel.co/","Full time","",""
"","Android Developer","Android Developer","Android Developer","https://www.kalibrr.id/c/phincon/jobs/170780/android-developer?source=job-board-2-5-15-1534&similar_job_code=1","PhinCon","Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.ph/logos/BKH7GQ9TYJNQKL6X3RGXMRZUWJRSLN5MMUDSN58Z-5e574c6d.png","Job Description
Translate designs and wireframes into high-quality code.
Design, build, and maintain high performance, reusable and reliable Java code.
Ensure the best possible performance, quality, and responsiveness of the application.
Identify and fix bottlenecks and bugs on our Android Application.
Work with backend developers to build new features and integrations.
Minimum Qualifications
General Requirements
Minimum 3 to 5 years of working experience as an Android Developer in the project (real project environment and team)
Team Working Skill: able to work in a team and have a good team working attitude
Analytical Skill: able to look at complex data and computer systems and find inefficiencies analyze weaknesses or security threats,
Problem-Solving Skill: Able to analyze an issue, security threat or problem and make decisions on how to proceed
Creativity: Finding new and innovative solution to problems requires Creativity
Communication Skill: Able to speak to clients providing recommendations, listen to concerns and communicate with teammates.
Presentation Skill: Able to present their findings and recommendations to their contracted company and their own management
Technical Requirements
In-depth knowledge of programming languages of Kotlin or Java and Android SDK
Sample portfolio of released applications on the Google PlayStore (Android market) is a plus
Understanding of Google's Android design principles and interface guidelines
Familiar with OOP design principles
Experience designing and developing client applications in Java.
Familiar with Sensor and push notification
Good understanding of software engineering concepts, algorithms, and design patterns (MVC, MWM or MVP)
Experience with agile (Scrum, Kanban) software development is a plus.
Experience using agile tools such as CU, jenkins, gitHub, Agile Tools (JIRA, Confluence)
Familiarity with code versioning tools GIT
Perks and Benefits
Medical, Prescription, Dental, or Vision Plans
Transportation Allowances
Work from Home
Jobs Summary
Job level
Mid-Senior Level / Manager
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
88 Office, 5, Jalan Casablanca, Jakarta Selatan 12870, Indonesia
Vacancy
1 opening
Website
http://www.phincon.com/","Full time","",""
"","IT Department Head of Infrastructure Security Solution","IT Department Head of Infrastructure Security Solution","IT Department Head of Infrastructure Security Solution","https://www.kalibrr.id/c/pt-anabatic-technologies/jobs/175739/it-department-head-of-infrastructure-security-solution?source=job-board-2-6-15-1534&similar_job_code=0","PT Anabatic Digital Raya","Tangerang, Indonesia","https://rec-data.kalibrr.com/logos/8QR7B5WD5MCQ97LQEH24KNL9A5VNJR3TNPT59B8H-5cc7e3cd.png","Job Description
Develop, implement and monitor security policies, protocol and procedures
Monitor all infrastructures and maintain all security tools and technology
Ensure that IT infrastructure and software development activities are consistent with the direction set by accepted best practices & standards
Ensure mobile/ web environment security -Investigates and resolve incidents/ problem
Coordinate/ create security reports -Analyze and improve continuously
Minimum Qualifications
Bachelor degree from Information Technology
Possess either a relevant certification in information security or have minimally 2-3 years of experience in information security
Good communication skills (verbal and written)
Highly motivated, Able to work individually or as part of a team and able to work with target
Able to translate technical vulnerabilities to business/ user language
Perks and Benefits
Medical / Health Insurance
Other
Notebook Ownership Program
Jobs Summary
Job level
Mid-Senior Level / Manager
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Office Address
Graha Anabatic Jl. Scientia Boulevard Kav U2 Summarecon Serpong
Vacancy
1 opening
Website
http://www.anabatic.com","Full time","12,000,000","18,000,000"
"","Software Engineer - Backend","Software Engineer - Backend","Software Engineer - Backend","https://www.kalibrr.id/c/mitramas-infosys-global/jobs/145304/software-engineer-backend?source=job-board-2-7-15-1534&similar_job_code=1","Mitramas Infosys Global","South Jakarta, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.ph/logos/G2KJ36N2NHLXGRMYTTE6A642PCPMBA6WH4Q8GCEJ-5d26eabd.png","Job Description
Here in Mitramas Infosys Global, you will be exposed to work on software across a diverse platform of technologies as well as a variety of industries within our portfolios. We are looking for talents with high tenacity in solving problems, exceptional passion for technologies, and a great willingness to learn and adapt to ever-changing environments to join our team. You are expected to be able to:
Write code, perform testing and debugging of applications using current programming languages and technologies
Complete documentation and procedures for testing and maintenance Implement unit tests and functional tests for their tasks
Convert given high-level software design to low-level software design
Minimum Qualifications
Experience using Java and web technologies
Strong in object-oriented programming concept
Deep knowledge of software development life cycle
Having professional attitudes & desire to pursue top code quality
Ability to understand business requirements and translate them into technical
Perks and Benefits
Life Insurance
Medical / Health Insurance
Performance Bonus
Retirement Benefit Plans
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Sometimes
Office Address
Jalan Tebet Raya No.42, RT.3/RW.2, East Tebet, South Jakarta City, Jakarta, Indonesia
Vacancy
20 openings
Website
http://mitrasolusi.group","Full time","5,000,000","7,000,000"
"","Mobile Engineer - iOS","Mobile Engineer - iOS","Mobile Engineer - iOS","https://www.kalibrr.id/c/ruangguru/jobs/163736/mobile-engineer-ios-5?source=job-board-2-8-15-1534&similar_job_code=0","Ruangguru","Kota Jakarta Selatan, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.id/logos/MS5CFRH5RBEVY7HFD3JLMEYK2M4SR69MDVQQYE3W-5e09ac2e.png","Job Description
Design and build advanced applications for the iOS platform
Collaborate with cross-functional teams to define, design, and ship new features.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Minimum Qualifications
2+ years of experience as a Mobile Engineer or Software Engineer.
Proven working experience in software development, with one published (or more) iOS apps in the app store.
Comfortable with iOS technology and programming language (Swift, Objective C, etc).
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Nice to Have
Experience working with react-native
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Jl. Dr. Saharjo No.161, RT.7/RW.3, South Manggarai, South Jakarta City, Jakarta, Indonesia
Vacancy
1 opening
Website
https://career.ruangguru.com","Full time","",""
"","Junior Data Science","Junior Data Science","Junior Data Science","https://www.kalibrr.id/c/pt-evotech-distribusi/jobs/170086/junior-data-science?source=job-board-2-9-15-1534&similar_job_code=0","PT Evotech Distribusi","Kota Jakarta Barat, Indonesia","https://rec-data.kalibrr.com/www.kalibrr.com/logos/WUJKZNYXR2K4CZEGPMPKRPSWHH9ZUA35PWQY9X5S-5e660717.png","","","",""
"","Mobile Developer","Mobile Developer","Mobile Developer","https://www.kalibrr.id/c/pt-global-urban-esensial/jobs/74848/mobile-developer?source=job-board-2-10-15-1534&similar_job_code=0","PT Global Urban Esensial","South Tangerang, Indonesia","https://rec-data.kalibrr.com/logos/7HSKK2WZKZEL9NCS2HGB-5a2529f3.png","Job Description
Work as part of a small team to build React Native iOS / Android applications based on user needs.
Build and maintain excellent React Native applications with clean code.
Implement pixel-perfect UI's that match designs.
Integrate back-end and or third-party APIs.
Release applications to Apple and Google Play stores.
Work with native modules when required.
Work as part of a small team, which will include other React Native developers, project managers, QA, and designers. Complete two-week sprints and participate in sprint retrospectives and standups.
Identify and correct bottlenecks and fix bugs
Optimize applications for maximum speed and scalability.
Ensure the best possible performance, quality, and responsiveness of the application
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Research and evaluate alternative solutions and provide recommendations for building and improving the product
Minimum Qualifications
Bachelor Degree in Information Technology, Information System, or Computer Science
Having at least 1-2 years experience as Mobile Developer
Proficient understanding of mobile development programming stacks especially React Native or Flutter
Updated with latest mobile technology and framework
Ability to take extreme ownership of your work. Every day is a challenge to make sure you are working according to the expectations your team has agreed upon
Understand React Native best practices and a commitment to following them
Ability to solve new and difficult React Native issues and contribute to libraries as needed
Experience working with Swift, Objective C, and Java is a plus but not required
Strong knowledge of code versioning tools (Git/SVN)
Good communication and excellent problem-solving skill
Perks and Benefits
Flexitime
Free Lunch or Snacks
Medical / Health Insurance
Performance Bonus
Transportation Allowances
Jobs Summary
Job level
Entry Level / Junior, Apprentice
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
Titan Center | Jl. Boulevard Bintaro Blok B7/B1 No. 5 Bintaro Jaya Sektor 7, South Tangerang, Banten, Indonesia
Vacancy
1 opening
Website
http://www.guesehat.com","Full time","",""
"","Data Engineer","Data Engineer","Data Engineer","https://www.kalibrr.id/c/tokopedia/jobs/162796/data-engineer-3?source=job-board-2-11-15-1534&similar_job_code=1","Tokopedia","South Jakarta, Indonesia","https://rec-data.kalibrr.com/logos/XMKUEUMG9ZSNEJ59KZ4YBDD98REF6JFTPMJNYT8L-5bcd893e.png","Job Description
Gather business requirement to support Data Office Project
Explore existing and new data sources and facilitate the integration to the Data Warehouse
Design and develop Data Quality Framework across Data Platform
Design, implement Data Model for enterprise data warehouse
Classifying data based Data Governance policy and Data Access Framework
Develop data definition and metrics and maintain the consistency across Data team
Minimum Qualifications
Experience in gathering requirements and formulating business metrics
Experience in data mining and data model
Has knowledge in data governance and data lifecycle management
Strong sense of ownership and self-starter who is target-driven and motivated
Preferable Experience in using Google Cloud Product or other cloud solutions
Jobs: 2-3 years of experience performing data warehouse management
Major: Computer Science, Information Technology, Industrial Engineering, Information System, or any related majors
Skills: Python, SQL, experience in Java or Golang would be a plus
Jobs Summary
Job level
Associate / Supervisor
Job category
IT and Software
Educational requirement
Bachelor's degree graduate
Recruiter response to application
Always
Office Address
South Jakarta, DKI Jakarta, Indonesia
Vacancy
1 opening
Website
https://www.tokopedia.com/","Full time","",""
